WEEK,Home Team,Away Team,Home Score,Away Score,Home Odds Close,Away Odds Close,Home Line Close,Away Line Close
WEEK1,KC,BLT,27.0,20.0,-148,125,-3.0,3.0
WEEK1,PHI,GB,34.0,29.0,-126,105,-1.5,1.5
WEEK1,ATL,PIT,10.0,18.0,-201,167,-4.0,4.0
WEEK1,BUF,ARZ,34.0,28.0,-305,244,-6.5,6.5
WEEK1,CHI,TEN,24.0,17.0,-200,166,-4.0,4.0
WEEK1,CIN,NE,10.0,16.0,-398,311,-7.5,7.5
WEEK1,IND,HST,27.0,29.0,135,-161,3.0,-3.0
WEEK1,MIA,JAX,20.0,17.0,-185,154,-3.5,3.5
WEEK1,NO,CAR,47.0,10.0,-195,161,-3.5,3.5
WEEK1,NYG,MIN,6.0,28.0,-107,-114,1.0,-1.0
WEEK1,LAC,LV,22.0,10.0,-156,131,-3.0,3.0
WEEK1,SEA,DEN,26.0,20.0,-283,230,-6.5,6.5
WEEK1,CLV,DAL,17.0,33.0,-133,111,-2.0,2.0
WEEK1,TB,WAS,37.0,20.0,-200,165,-4.0,4.0
WEEK1,DET,LA,26.0,20.0,-246,202,-5.5,5.5
WEEK1,SF,NYJ,32.0,19.0,-197,162,-3.5,3.5
WEEK2,MIA,BUF,10.0,31.0,-140,118,-2.5,2.5
WEEK2,BLT,LV,23.0,26.0,-452,345,-8.5,8.5
WEEK2,CAR,LAC,3.0,26.0,179,-215,4.5,-4.5
WEEK2,DAL,NO,19.0,44.0,-289,233,-6.5,6.5
WEEK2,DET,TB,16.0,20.0,-375,294,-7.5,7.5
WEEK2,GB,IND,16.0,10.0,117,-139,2.5,-2.5
WEEK2,JAX,CLV,13.0,18.0,-171,142,-3.0,3.0
WEEK2,MIN,SF,23.0,17.0,176,-213,4.0,-4.0
WEEK2,NE,SEA,20.0,23.0,139,-167,3.0,-3.0
WEEK2,TEN,NYJ,17.0,24.0,161,-194,3.5,-3.5
WEEK2,WAS,NYG,21.0,18.0,-124,103,-1.5,1.5
WEEK2,ARZ,LA,41.0,10.0,-110,-110,0.0,-0.0
WEEK2,DEN,PIT,6.0,13.0,124,-148,2.5,-2.5
WEEK2,KC,CIN,26.0,25.0,-290,234,-6.5,6.5
WEEK2,HST,CHI,19.0,13.0,-281,229,-6.5,6.5
WEEK2,PHI,ATL,21.0,22.0,-247,205,-5.5,5.5
WEEK3,NYJ,NE,24.0,3.0,-294,239,-6.5,6.5
WEEK3,CLV,NYG,15.0,21.0,-293,234,-6.5,6.5
WEEK3,IND,CHI,21.0,16.0,-131,110,-2.0,2.0
WEEK3,MIN,HST,34.0,7.0,105,-127,1.5,-1.5
WEEK3,NO,PHI,12.0,15.0,-145,122,-2.5,2.5
WEEK3,PIT,LAC,20.0,10.0,-142,120,-2.5,2.5
WEEK3,TB,DEN,7.0,26.0,-269,217,-6.0,6.0
WEEK3,TEN,GB,14.0,30.0,-162,135,-3.0,3.0
WEEK3,LV,CAR,22.0,36.0,-247,203,-5.5,5.5
WEEK3,SEA,MIA,24.0,3.0,-217,180,-4.0,4.0
WEEK3,ARZ,DET,13.0,20.0,126,-151,3.0,-3.0
WEEK3,DAL,BLT,25.0,28.0,101,-122,1.5,-1.5
WEEK3,LA,SF,27.0,24.0,226,-279,6.0,-6.0
WEEK3,ATL,KC,17.0,22.0,143,-173,3.0,-3.0
WEEK3,BUF,JAX,47.0,10.0,-225,185,-4.0,4.0
WEEK3,CIN,WAS,33.0,38.0,-344,274,-7.0,7.0
WEEK4,NYG,DAL,15.0,20.0,199,-242,5.5,-5.5
WEEK4,ATL,NO,26.0,24.0,-148,125,-2.5,2.5
WEEK4,CAR,CIN,24.0,34.0,186,-224,5.0,-5.0
WEEK4,CHI,LA,24.0,18.0,-168,142,-3.0,3.0
WEEK4,GB,MIN,29.0,31.0,-144,121,-2.5,2.5
WEEK4,HST,JAX,24.0,20.0,-251,205,-5.5,5.5
WEEK4,IND,PIT,27.0,24.0,121,-144,2.5,-2.5
WEEK4,NYJ,DEN,9.0,10.0,-405,319,-8.0,8.0
WEEK4,TB,PHI,33.0,16.0,-103,-117,1.0,-1.0
WEEK4,ARZ,WAS,14.0,42.0,-182,152,-3.5,3.5
WEEK4,SF,NE,30.0,13.0,-571,423,-10.5,10.5
WEEK4,LAC,KC,10.0,17.0,256,-319,7.0,-7.0
WEEK4,LV,CLV,20.0,16.0,124,-150,2.5,-2.5
WEEK4,BLT,BUF,35.0,10.0,-144,122,-2.5,2.5
WEEK4,MIA,TEN,12.0,31.0,-151,127,-2.5,2.5
WEEK4,DET,SEA,42.0,29.0,-221,183,-4.5,4.5
WEEK5,ATL,TB,36.0,30.0,-142,119,-2.5,2.5
WEEK5,MIN,NYJ,23.0,17.0,-141,119,-2.5,2.5
WEEK5,CHI,CAR,36.0,10.0,-198,166,-4.0,4.0
WEEK5,CIN,BLT,38.0,41.0,119,-141,2.5,-2.5
WEEK5,HST,BUF,23.0,20.0,-123,103,-1.5,1.5
WEEK5,JAX,IND,37.0,34.0,-197,164,-3.5,3.5
WEEK5,NE,MIA,10.0,15.0,110,-130,2.0,-2.0
WEEK5,WAS,CLV,34.0,13.0,-153,130,-3.0,3.0
WEEK5,DEN,LV,34.0,18.0,-163,138,-3.0,3.0
WEEK5,SF,ARZ,23.0,24.0,-355,282,-7.0,7.0
WEEK5,LA,GB,19.0,24.0,130,-154,3.0,-3.0
WEEK5,SEA,NYG,20.0,29.0,-317,257,-7.0,7.0
WEEK5,PIT,DAL,17.0,20.0,-142,120,-2.5,2.5
WEEK5,KC,NO,26.0,13.0,-229,191,-5.0,5.0
WEEK6,SEA,SF,24.0,36.0,163,-195,3.5,-3.5
WEEK6,CHI,JAX,35.0,16.0,105,-124,1.5,-1.5
WEEK6,BLT,WAS,30.0,23.0,-316,255,-7.0,7.0
WEEK6,GB,ARZ,34.0,13.0,-246,203,-5.5,5.5
WEEK6,NE,HST,21.0,41.0,240,-295,6.5,-6.5
WEEK6,NO,TB,27.0,51.0,153,-181,3.5,-3.5
WEEK6,PHI,CLV,20.0,16.0,-409,324,-8.5,8.5
WEEK6,TEN,IND,17.0,20.0,-136,115,-2.5,2.5
WEEK6,DEN,LAC,16.0,23.0,131,-155,3.0,-3.0
WEEK6,LV,PIT,13.0,32.0,156,-186,3.5,-3.5
WEEK6,CAR,ATL,20.0,38.0,214,-261,6.0,-6.0
WEEK6,DAL,DET,9.0,47.0,164,-193,3.5,-3.5
WEEK6,NYG,CIN,7.0,17.0,178,-213,4.5,-4.5
WEEK6,NYJ,BUF,20.0,23.0,-102,-118,1.0,-1.0
WEEK7,NO,DEN,10.0,33.0,125,-148,2.5,-2.5
WEEK7,JAX,NE,32.0,16.0,-329,264,-7.0,7.0
WEEK7,ATL,SEA,14.0,34.0,-163,138,-3.0,3.0
WEEK7,BUF,TEN,34.0,10.0,-484,374,-9.5,9.5
WEEK7,CLV,CIN,14.0,21.0,198,-238,5.5,-5.5
WEEK7,GB,HST,24.0,22.0,-175,149,-3.0,3.0
WEEK7,IND,MIA,16.0,10.0,-151,127,-3.0,3.0
WEEK7,MIN,DET,29.0,31.0,-122,103,-1.5,1.5
WEEK7,NYG,PHI,3.0,28.0,140,-166,3.0,-3.0
WEEK7,LA,LV,20.0,15.0,-348,278,-7.0,7.0
WEEK7,WAS,CAR,40.0,7.0,-522,399,-10.0,10.0
WEEK7,SF,KC,18.0,28.0,-145,125,-2.5,2.5
WEEK7,PIT,NYJ,37.0,15.0,132,-155,2.5,-2.5
WEEK7,TB,BLT,31.0,41.0,182,-216,4.5,-4.5
WEEK7,ARZ,LAC,17.0,15.0,100,-119,1.0,-1.0
WEEK8,LA,MIN,30.0,20.0,126,-148,2.5,-2.5
WEEK8,CIN,PHI,17.0,37.0,-151,128,-2.5,2.5
WEEK8,CLV,BLT,29.0,24.0,275,-337,7.0,-7.0
WEEK8,DET,TEN,52.0,14.0,-723,516,-12.5,12.5
WEEK8,HST,IND,23.0,20.0,-233,194,-5.0,5.0
WEEK8,JAX,GB,27.0,30.0,154,-182,3.5,-3.5
WEEK8,MIA,ARZ,27.0,28.0,-221,185,-4.5,4.5
WEEK8,NE,NYJ,25.0,22.0,271,-339,7.0,-7.0
WEEK8,TB,ATL,26.0,31.0,105,-124,1.5,-1.5
WEEK8,LAC,NO,26.0,8.0,-353,284,-7.5,7.5
WEEK8,SEA,BUF,10.0,31.0,136,-161,3.0,-3.0
WEEK8,DEN,CAR,28.0,14.0,-751,530,-13.0,13.0
WEEK8,LV,KC,20.0,27.0,341,-434,8.5,-8.5
WEEK8,WAS,CHI,18.0,15.0,-122,103,-1.5,1.5
WEEK8,SF,DAL,27.0,10.0,-241,201,-5.5,5.5
WEEK8,PIT,NYG,,,-262,216,-6.0,6.0
WEEK9,NYJ,HST,,,-110,-111,1.0,-1.0
WEEK9,ATL,DAL,,,-140,115,-2.5,2.5
WEEK9,BLT,DEN,,,-470,353,-8.5,8.5
WEEK9,BUF,MIA,,,-306,243,-6.0,6.0
WEEK9,CAR,NO,,,236,-297,6.5,-6.5
WEEK9,CIN,LV,,,-410,317,-8.5,8.5
WEEK9,CLV,LAC,,,111,-134,2.5,-2.5
WEEK9,NYG,WAS,,,150,-181,3.5,-3.5
WEEK9,TEN,NE,,,-162,134,-3.0,3.0
WEEK9,ARZ,CHI,,,-119,-102,-1.5,1.5
WEEK9,PHI,JAX,,,-343,271,-7.0,7.0
WEEK9,GB,DET,,,151,-187,4.0,-4.0
WEEK9,SEA,LA,,,-120,-101,-1.5,1.5
WEEK9,MIN,IND,,,-329,256,-6.5,6.5
WEEK9,KC,TB,,,-435,330,-9.0,9.0
WEEK10,BLT,CIN,,,,,,
WEEK10,CAR,NYG,,,,,,
WEEK10,CHI,NE,,,,,,
WEEK10,IND,BUF,,,,,,
WEEK10,JAX,MIN,,,,,,
WEEK10,KC,DEN,,,,,,
WEEK10,NO,ATL,,,,,,
WEEK10,TB,SF,,,,,,
WEEK10,WAS,PIT,,,,,,
WEEK10,LAC,TEN,,,,,,
WEEK10,ARZ,NYJ,,,,,,
WEEK10,DAL,PHI,,,,,,
WEEK10,HST,DET,,,,,,
WEEK10,LA,MIA,,,,,,
WEEK11,PHI,WAS,,,,,,
WEEK11,CHI,GB,,,,,,
WEEK11,DET,JAX,,,,,,
WEEK11,MIA,LV,,,,,,
WEEK11,NE,LA,,,,,,
WEEK11,NO,CLV,,,,,,
WEEK11,PIT,BLT,,,,,,
WEEK11,TEN,MIN,,,,,,
WEEK11,DEN,ATL,,,,,,
WEEK11,SF,SEA,,,,,,
WEEK11,BUF,KC,,,,,,
WEEK11,LAC,CIN,,,,,,
WEEK11,NYJ,IND,,,,,,
WEEK11,DAL,HST,,,,,,
WEEK12,CLV,PIT,,,,,,
WEEK12,CAR,KC,,,,,,
WEEK12,CHI,MIN,,,,,,
WEEK12,HST,TEN,,,,,,
WEEK12,IND,DET,,,,,,
WEEK12,MIA,NE,,,,,,
WEEK12,NYG,TB,,,,,,
WEEK12,WAS,DAL,,,,,,
WEEK12,LV,DEN,,,,,,
WEEK12,GB,SF,,,,,,
WEEK12,SEA,ARZ,,,,,,
WEEK12,LA,PHI,,,,,,
WEEK12,LAC,BLT,,,,,,
WEEK13,DET,CHI,,,,,,
WEEK13,DAL,NYG,,,,,,
WEEK13,GB,MIA,,,,,,
WEEK13,KC,LV,,,,,,
WEEK13,ATL,LAC,,,,,,
WEEK13,CIN,PIT,,,,,,
WEEK13,JAX,HST,,,,,,
WEEK13,MIN,ARZ,,,,,,
WEEK13,NE,IND,,,,,,
WEEK13,NYJ,SEA,,,,,,
WEEK13,WAS,TEN,,,,,,
WEEK13,CAR,TB,,,,,,
WEEK13,NO,LA,,,,,,
WEEK13,BLT,PHI,,,,,,
WEEK13,BUF,SF,,,,,,
WEEK13,DEN,CLV,,,,,,
WEEK14,DET,GB,,,,,,
WEEK14,MIA,NYJ,,,,,,
WEEK14,MIN,ATL,,,,,,
WEEK14,NYG,NO,,,,,,
WEEK14,PHI,CAR,,,,,,
WEEK14,PIT,CLV,,,,,,
WEEK14,TB,LV,,,,,,
WEEK14,TEN,JAX,,,,,,
WEEK14,ARZ,SEA,,,,,,
WEEK14,LA,BUF,,,,,,
WEEK14,SF,CHI,,,,,,
WEEK14,KC,LAC,,,,,,
WEEK14,DAL,CIN,,,,,,
WEEK15,SF,LA,,,,,,
WEEK15,CAR,DAL,,,,,,
WEEK15,CLV,KC,,,,,,
WEEK15,HST,MIA,,,,,,
WEEK15,JAX,NYJ,,,,,,
WEEK15,NO,WAS,,,,,,
WEEK15,NYG,BLT,,,,,,
WEEK15,TEN,CIN,,,,,,
WEEK15,ARZ,NE,,,,,,
WEEK15,DEN,IND,,,,,,
WEEK15,DET,BUF,,,,,,
WEEK15,LAC,TB,,,,,,
WEEK15,PHI,PIT,,,,,,
WEEK15,SEA,GB,,,,,,
WEEK15,MIN,CHI,,,,,,
WEEK15,LV,ATL,,,,,,
WEEK16,CIN,CLV,,,,,,
WEEK16,KC,HST,,,,,,
WEEK16,BLT,PIT,,,,,,
WEEK16,ATL,NYG,,,,,,
WEEK16,BUF,NE,,,,,,
WEEK16,CAR,ARZ,,,,,,
WEEK16,CHI,DET,,,,,,
WEEK16,IND,TEN,,,,,,
WEEK16,NYJ,LA,,,,,,
WEEK16,WAS,PHI,,,,,,
WEEK16,LAC,DEN,,,,,,
WEEK16,SEA,MIN,,,,,,
WEEK16,LV,JAX,,,,,,
WEEK16,MIA,SF,,,,,,
WEEK16,DAL,TB,,,,,,
WEEK16,GB,NO,,,,,,
WEEK17,PIT,KC,,,,,,
WEEK17,HST,BLT,,,,,,
WEEK17,CHI,SEA,,,,,,
WEEK17,CIN,DEN,,,,,,
WEEK17,LA,ARZ,,,,,,
WEEK17,NE,LAC,,,,,,
WEEK17,NYG,IND,,,,,,
WEEK17,WAS,ATL,,,,,,
WEEK17,BUF,NYJ,,,,,,
WEEK17,JAX,TEN,,,,,,
WEEK17,MIN,GB,,,,,,
WEEK17,NO,LV,,,,,,
WEEK17,TB,CAR,,,,,,
WEEK17,PHI,DAL,,,,,,
WEEK17,CLV,MIA,,,,,,
WEEK17,SF,DET,,,,,,
